Bright,,,Filios,,,Bowles,,
Species,Date,Location,Species,Date,Location,Species,Date,Location
Northern Shoveler,4/4/2016,"Latah, ID",Burrowing Owl,3/19/2016,"Zanjero Park, Gilbert, AZ",,,
Green-winged Teal,4/4/2016,"Latah, ID",Greater Roadrunner,3/20/2016,"Boyce Thompson Arboretum, AZ",,,
Northern Harrier,4/4/2016,"Latah, ID",Costa's Hummingbird,3/20/2016,"Boyce Thompson Arboretum, AZ",,,
American Coot,4/4/2016,"Latah, ID",Golden-crowned Kinglet,3/20/2016,"Boyce Thompson Arboretum, AZ",,,
Savannah Sparrow,4/4/2016,"Latah, ID",Lesser Goldfinch,3/20/2016,"Boyce Thompson Arboretum, AZ",,,
Black-chinned X Calliope Hummingbird,4/8/2016,"Moscow, ID",Phainopepla,3/20/2016,"Boyce Thompson Arboretum, AZ",,,
Ruby-crowned Kinglet,4/8/2016,"Moscow, ID",Broad-billed Hummingbird,3/20/2016,"Boyce Thompson Arboretum, AZ",,,
Yellow-rumped Warbler,4/8/2016,"Moscow, ID",Blue-gray Gnatcatcher,3/20/2016,"Boyce Thompson Arboretum, AZ",,,
Calliope Hummingbird,4/14/2016,"Moscow, ID",Pelagic Cormorant,3/26/2016,"Monterey, CA",,,
Orange-crowned Warbler,4/19/2016,"Moscow, ID",Common Murre,3/26/2016,"Monterey, CA",,,
Cinnamon Teal,4/21/2016,"Latah, ID",Pigeon Guillemot,3/26/2016,"Monterey, CA",,,
Greater Yellowlegs,4/21/2016,"Latah, ID",Cattle Egret,3/26/2016,"Redwood City, CA",,,
Yellow-headed Blackbird,4/21/2016,"Latah, ID",,,,,,
Brewer's Blackbird,4/21/2016,"Latah, ID",,,,,,
Tree Swallow,4/21/2016,"Latah, ID",,,,,,
